"Category";"mannen gestand.*";"vrouwen gestand.*";"totaal gestand.*";"mannen ongestand.";"vrouwen ongestand.";"totaal ongestand."
"1990";5.4;6.8;6.1;5;6;5.5
"1991";5.3;7;6.2;5.1;6.1;5.6
"1992";5.1;8.3;6.7;4.7;7.4;6.1
"1993";5.4;7;6.2;5.2;6.3;5.7
"1994";6.5;7.5;7;6.2;6.8;6.5
"1995";5.5;8.2;6.9;5.3;7.6;6.5
"1996";6.2;8;7.1;6.1;7.3;6.7
"1997";7.2;9.2;8.2;6.8;8.6;7.7
"1998";6.5;9.3;7.9;6.4;8.9;7.6
"1999";6.9;9.9;8.4;6.9;9.4;8.2
"2000";8.3;9.8;9.1;8.1;9.4;8.8
"2001";8.2;10.3;9.3;8.2;10.2;9.2
"2002";8.2;10.3;9.3;8.2;10;9.1
"2003";8.8;11.4;10.1;8.8;11.1;10
"2004";9.5;11.3;10.4;9.7;11;10.4
"2005";9.6;11.2;10.4;9.8;10.7;10.3
"2006";9.9;12.6;11.2;9.7;12.4;11.1
"2007";10;11.6;10.8;10.2;11.6;10.9
"2008";9.9;11.9;10.9;10.1;11.6;10.9
"2009";10.9;12.4;11.6;10.8;12;11.4
"2010";9.8;12.5;11.2;10;12.3;11.1
"2011";10;12.7;11.3;9.9;12.5;11.2
"2012";10.9;12.6;11.8;10.9;12.5;11.7
"2013";10.4;12.7;11.5;10.4;12.6;11.5
"2014";11.5;15.2;13.4;11.6;15.1;13.3
"2015";11.7;14.8;13.2;11.8;14.8;13.3
"2016";11.8;16.4;14.1;11.9;16.4;14.2
"2017";12.4;15.3;13.9;12.5;15.2;13.9
"2018";12.8;16.7;14.8;12.9;16.7;14.8
"2019";13;16;14.5;13.1;16.1;14.6
"2020";12.3;15.2;13.8;12.3;15.4;13.8
"2021";11.7;16.4;14.1;11.8;16.5;14.2
